wavelenght,n,k
1.4416739999999999e-09,0.99908909999,0.0003128
1.4433530000000001e-09,0.99908859999,0.00031549999
1.4450349999999999e-09,0.99908859999,0.00031840001
1.4467209999999998e-09,0.99908959999,0.0003209
1.4484109999999999e-09,0.99909160001,0.00032260001
1.450105e-09,0.99909360002,0.00032250001
1.451803e-09,0.99909459997,0.0003215
1.453505e-09,0.99909509998,0.00032039999
1.455211e-09,0.99909509998,0.00031919999
1.4569209999999999e-09,0.99909459997,0.00031790001
1.4586349999999999e-09,0.99909459997,0.0003166
1.460353e-09,0.99909360002,0.0003139
1.462076e-09,0.99909210001,0.00031120001
1.4638018999999998e-09,0.99908809998,0.00030849999
1.465532e-09,0.99908360001,0.00030769999
1.467266e-09,0.99907959998,0.00030809999
1.469005e-09,0.99907610001,0.0003092
1.4707470999999998e-09,0.99907309999,0.00031040001
1.472494e-09,0.99907060002,0.00031159999
1.4742449999999998e-09,0.99906810001,0.00031259999
1.4759999e-09,0.99906559999,0.0003135
1.477759e-09,0.99906310003,0.00031450001
1.4795229999999998e-09,0.99906060001,0.00031549999
1.484838e-09,0.99905360001,0.00031939999
1.493783e-09,0.99904309999,0.00032580001
1.502836e-09,0.99903359998,0.0003323
1.512e-09,0.99902410002,0.00033899999
1.521276e-09,0.99901509995,0.00034590001
1.5306670000000001e-09,0.9990066,0.00035300001
1.540174e-09,0.9989980001,0.00036020001
1.5498e-09,0.998991,0.00036760001
1.5595470000000001e-09,0.9989839999,0.00037299999
1.569418e-09,0.998976,0.0003785
1.5794139999999999e-09,0.9989680001,0.00038410001
1.589539e-09,0.99896,0.00039
1.599794e-09,0.998951,0.00039589999
1.610182e-09,0.998942,0.0004019
1.6207060999999999e-09,0.998933,0.00040819999
1.631368e-09,0.998924,0.00041450001
1.6421719999999997e-09,0.998916,0.00042110001
1.6531199999999998e-09,0.9989069999,0.0004277
1.664215e-09,0.998897,0.00043459999
1.67546e-09,0.998888,0.00044149999
1.6868569999999998e-09,0.9988769999,0.00044860001
